ticker,name,sector,industry,city,state,market_cap_cr,revenue_cr,profit_cr,revenue_growth_yoy,pe,eps,roe_pct,debt_to_equity,dividend_yield_pct
AARTISURF.NS,Aarti Surfactants Limited,Basic Materials,Specialty Chemicals,Mumbai,Unknown,329.6269056,648.5132,14.5447,10.740462084842713,18.437498,21.12,,0.49926000000000004,22.0
BAFNAPH.NS,Bafna Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,Chennai,Unknown,318.6272,145.857,4.1525,-4.334548688655874,32.93154,4.09,,0.35519,
AVONMORE.NS,Avonmore Capital & Management Services Limited,Financial Services,Capital Markets,New Delhi,Unknown,315.7647104,177.3973,28.9982,48.77231618707691,13.814815,0.81,,0.051550000000000006,
DJML.NS,DJ Mediaprint & Logistics Limited,Industrials,Specialty Business Services,Navi Mumbai,Unknown,314.7735808,82.0883,6.7203,43.9110464402798,39.60581,2.41,,0.37044,10.0
BELLACASA.NS,Bella Casa Fashion & Retail Limited,Consumer Cyclical,Textile Manufacturing,Jaipur,Unknown,314.4723712,348.5205,15.7953,51.51945291000231,15.691382,14.97,,0.49781,86.0
ASHIMASYN.NS,Ashima Limited,Real Estate,Real Estate - Development,Ahmedabad,Unknown,310.8726272,10.48,-19.0,-88.30487668786967,,-0.16,,0.58263,
AXITA.NS,Axita Cotton Limited,Consumer Cyclical,Textile Manufacturing,Ahmedabad,Unknown,301.0238208,370.3974,1.9019,-43.25288280136623,157.4,0.05,,0.34066,
EXXARO.NS,Exxaro Tiles Limited,Industrials,Building Products & Equipment,Ahmedabad,Unknown,293.9488256,301.6267,-0.1217,0.17449277037329297,109.50001,0.06,1.018,0.33348999999999995,
APOLSINHOT.NS,Apollo Sindoori Hotels Limited,Industrials,Specialty Business Services,Chennai,Unknown,286.1480192,541.7884,7.7249,4.309089582402383,28.746082,38.28,,0.53838,41.0
ASAHISONG.NS,Asahi Songwon Colors Limited,Basic Materials,Specialty Chemicals,Ahmedabad,Unknown,281.9748864,559.0554,19.7546,31.436771894220577,18.122728,13.2,,0.49417,66.0
DELPHIFX.NS,Delphi World Money Limited,Financial Services,Capital Markets,Mumbai,Unknown,279.8505216,1721.215,1.955,-40.01920121549618,63.388885,0.18,2.2079999,25.471880000000002,
DYNPRO.NS,Dynemic Products Limited,Basic Materials,Specialty Chemicals,Ahmedabad,Unknown,279.0048768,360.8974,15.0,29.022886801532128,15.589584,14.4,,0.33912,
AHLEAST.NS,Asian Hotels (East) Limited,Consumer Cyclical,Lodging,Kolkata,Unknown,276.840064,111.9384,17.5203,3.831062943264056,,-32.44,,1.54746,63.0
BCONCEPTS.NS,Brand Concepts Limited,Consumer Cyclical,Footwear & Accessories,Indore,Unknown,272.7290112,291.9188,5.2333,0.6098584418435612,52.39808,4.17,,2.38883,
DPWIRES.NS,D.P. Wires Limited,Industrials,Metal Fabrication,Ratlam,Unknown,267.783808,619.8472,22.2049,-37.812187040436655,21.867088,7.9,,0.00865,
CINELINE.NS,Cineline India Limited,Communication Services,Entertainment,Mumbai,Unknown,267.5180288,210.6214,-17.6222,11.081026060779301,,-1.16,7.7259994999999995,0.77936,
BPL.NS,BPL Limited,Technology,Consumer Electronics,Bengaluru,Unknown,266.8198912,78.3586,0.248,17.96463707461743,,-3.03,-3.7920002,0.71883,
DIAMINESQ.NS,Diamines and Chemicals Limited,Basic Materials,Chemicals,Vadodara,Unknown,260.5336576,69.3124,2.7306,-32.59338716469264,,-9.31,,0.06365,35.0
AARON.NS,Aaron Industries Limited,Industrials,Specialty Industrial Machinery,Surat,Unknown,259.1079168,77.8664,8.2432,23.243575194402105,37.035927,3.34,,0.72439,48.0
CORDSCABLE.NS,Cords Cable Industries Limited,Industrials,Electrical Equipment & Parts,New Delhi,Unknown,252.9320192,794.5629,14.6699,26.574170495053007,15.038431,13.01,,0.57801,52.0
A2ZINFRA.NS,A2Z Infra Engineering Limited,Industrials,Engineering & Construction,Gurugram,Unknown,250.8390912,336.2675,8.9731,-13.44198533802846,100.92857,0.14,,3.53886,
